"Diagnosis outputs (Group: Pulmonary TB: HIV-negative, Children aged < 15 years; Mode: DiagPatient; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"        Number screened for TB disease","5.608405","8.510896","10.673318","18.265895","27.801233","41.365132","44.838825","51.075701","54.415281","55.660064","55.958932","55.9446","56.028696","56.240006","56.285969","55.746107"
"        Number referred for diagnostic evaluation of TB disease","0.361622","0.548771","0.688201","1.177759","1.792584","2.667165","2.891144","3.293289","3.508621","3.588882","3.608153","3.607229","3.612651","3.626276","3.62924","3.59443"
"        Number diagnosed with PTB","0.033414","0.050706","0.063589","0.108824","0.165633","0.246444","0.267139","0.304297","0.324193","0.331609","0.33339","0.333305","0.333806","0.335064","0.335338","0.332122"
"        Number initiated on treatment for TB disease","0.033414","0.050706","0.063589","0.108824","0.165633","0.246444","0.267139","0.304297","0.324193","0.331609","0.33339","0.333305","0.333806","0.335064","0.335338","0.332122"
"        Number eligible for evaluation of TB infection","5.574991","8.46019","10.609729","18.157071","27.6356","41.118689","44.571686","50.771404","54.091088","55.328455","55.625542","55.611296","55.69489","55.904942","55.950631","55.413985"
"        Number tested for TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"        Number with presumed or confirmed TB infection","2.787496","4.230095","5.304865","9.078536","13.8178","20.559344","22.285843","25.385702","27.045544","27.664227","27.812771","27.805648","27.847445","27.952471","27.975315","27.706993"
"        Number initiated on TB preventive treatment","2.787496","4.230095","5.304865","9.078536","13.8178","20.559344","22.285843","25.385702","27.045544","27.664227","27.812771","27.805648","27.847445","27.952471","27.975315","27.706993"
"    Children aged 10-14 years","","","","","","","","","","","","","","","",""
"        Number eligible for screening and diagnosis of TB disease","12.204959","18.402944","23.674115","40.467866","63.163182","95.889803","108.074097","127.301944","142.012405","151.999232","161.272898","170.060817","178.119476","185.45758","192.182167","198.095275"
"        Number screened for TB disease","5.98043","9.017442","11.600317","19.829255","30.949959","46.986003","52.956307","62.377952","71.006203","75.999616","80.636449","85.030409","89.059738","92.72879","96.091083","99.047637"
"        Number referred for diagnostic evaluation of TB disease","0.152236","0.229546","0.295295","0.504768","0.787854","1.196063","1.348042","1.587877","1.807515","1.934626","2.05266","2.164512","2.267081","2.36048","2.446069","2.521331"
"        Number diagnosed with PTB","0.031784","0.047925","0.061653","0.105387","0.164491","0.249718","0.281449","0.331522","0.377379","0.403918","0.428561","0.451914","0.473329","0.492829","0.510699","0.526412"
"        Number initiated on treatment for TB disease","0.031784","0.047925","0.061653","0.105387","0.164491","0.249718","0.281449","0.331522","0.377379","0.403918","0.428561","0.451914","0.473329","0.492829","0.510699","0.526412"
"        Number eligible for evaluation of TB infection","5.948645","8.969517","11.538664","19.723867","30.785468","46.736285","52.674859","62.04643","70.628823","75.595698","80.207888","84.578495","88.586409","92.235961","95.580385","98.521226"
"        Number tested for TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"        Number with presumed or confirmed TB infection","2.974323","4.484759","5.769332","9.861934","15.392734","23.368143","26.337429","31.023215","35.314412","37.797849","40.103944","42.289247","44.293204","46.117981","47.790192","49.260613"
"        Number initiated on TB preventive treatment","2.974323","4.484759","5.769332","9.861934","15.392734","23.368143","26.337429","31.023215","35.314412","37.797849","40.103944","42.289247","44.293204","46.117981","47.790192","49.260613"
"    Children and adults aged 10 years and above","","","","","","","","","","","","","","","",""
"        Number eligible for screening and diagnosis of TB disease","249.773735","405.103049","544.262074","716.150438","989.762769","1070.900851","1169.293924","1509.497598","1644.809038","1776.779419","1905.836802","2031.219886","2153.567109","2272.441604","2387.117119","2497.830316"
"        Number screened for TB disease","122.38913","198.500494","266.688416","350.913714","484.983757","524.741417","572.954023","739.653823","822.404519","888.389709","952.918401","1015.609943","1076.783554","1136.220802","1193.55856","1248.915158"
"        Number referred for diagnostic evaluation of TB disease","3.115506","5.052976","6.78875","8.932767","12.345619","13.35768","14.584967","18.828433","20.934913","22.614615","24.25724","25.8531","27.410319","28.923338","30.382913","31.792056"
"        Number diagnosed with PTB","0.650466","1.054977","1.417378","1.865013","2.57756","2.788861","3.045098","3.931063","4.370861","4.721555","5.064508","5.397697","5.722818","6.038711","6.343446","6.637652"
"        Number initiated on treatment for TB disease","0.650466","1.054977","1.417378","1.865013","2.57756","2.788861","3.045098","3.931063","4.370861","4.721555","5.064508","5.397697","5.722818","6.038711","6.343446","6.637652"
"        Number eligible for evaluation of TB infection","121.738665","197.445517","265.271038","349.048701","482.406197","521.952556","569.908925","735.72276","818.033658","883.668155","947.853893","1010.212246","1071.060736","1130.182091","1187.215113","1242.277506"
"        Number tested for TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"        Number with presumed or confirmed TB infection","60.869332","98.722758","132.635519","174.524351","241.203098","260.976278","284.954462","367.86138","409.016829","441.834077","473.926947","505.106123","535.530368","565.091045","593.607557","621.138753"
"        Number initiated on TB preventive treatment","60.869332","98.722758","132.635519","174.524351","241.203098","260.976278","284.954462","367.86138","409.016829","441.834077","473.926947","505.106123","535.530368","565.091045","593.607557","621.138753"
"    Children aged 0 to 14 years","","","","","","","","","","","","","","","",""
"        Number eligible for screening and diagnosis of TB disease","23.421769","35.424735","45.020752","76.999657","118.765647","178.620067","197.751746","229.453346","250.842967","263.31936","273.190762","281.950017","290.176867","297.937592","304.754105","309.587489"
"        Number screened for TB disease","11.588835","17.528338","22.273635","38.09515","58.751192","88.351136","97.795132","113.453654","125.421484","131.65968","136.595381","140.975009","145.088434","148.968796","152.377053","154.793744"
"        Number referred for diagnostic evaluation of TB disease","0.513858","0.778316","0.983495","1.682527","2.580438","3.863229","4.239186","4.881166","5.316136","5.523509","5.660813","5.771741","5.879733","5.986756","6.075309","6.115761"
"        Number diagnosed with PTB","0.065198","0.098631","0.125242","0.214211","0.330124","0.496162","0.548588","0.635819","0.701572","0.735527","0.761951","0.785219","0.807134","0.827893","0.846037","0.858534"
"        Number initiated on treatment for TB disease","0.065198","0.098631","0.125242","0.214211","0.330124","0.496162","0.548588","0.635819","0.701572","0.735527","0.761951","0.785219","0.807134","0.827893","0.846037","0.858534"
"        Number eligible for evaluation of TB infection","11.523637","17.429707","22.148393","37.880939","58.421068","87.854974","97.246544","112.817835","124.719911","130.924153","135.83343","140.18979","144.281299","148.140903","151.531016","153.935211"
"        Number tested for TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"        Number with presumed or confirmed TB infection","5.761818","8.714854","11.074197","18.940469","29.210534","43.927487","48.623272","56.408917","62.359956","65.462077","67.916715","70.094895","72.14065","74.070451","75.765508","76.967605"
"        Number initiated on TB preventive treatment","5.761818","8.714854","11.074197","18.940469","29.210534","43.927487","48.623272","56.408917","62.359956","65.462077","67.916715","70.094895","72.14065","74.070451","75.765508","76.967605"
"    Adults aged 15 years and above","","","","","","","","","","","","","","","",""
"        Number eligible for screening and diagnosis of TB disease","237.568776","386.700106","520.587958","675.682571","926.599587","975.011048","1061.219828","1382.195654","1502.796633","1624.780187","1744.563903","1861.159068","1975.447633","2086.984024","2194.934953","2299.735042"
"        Number screened for TB disease","116.4087","189.483052","255.0881","331.08446","454.033797","477.755414","519.997716","677.275871","751.398317","812.390094","872.281952","930.579534","987.723817","1043.492012","1097.467476","1149.867521"
"        Number referred for diagnostic evaluation of TB disease","2.963269","4.823431","6.493456","8.427999","11.557765","12.161616","13.236925","17.240556","19.127398","20.679989","22.20458","23.688588","25.143238","26.562858","27.936843","29.270725"
"        Number diagnosed with PTB","0.618681","1.007052","1.355725","1.759626","2.413069","2.539143","2.76365","3.599541","3.993482","4.317637","4.635946","4.945783","5.249489","5.545882","5.832748","6.11124"
"        Number initiated on treatment for TB disease","0.618681","1.007052","1.355725","1.759626","2.413069","2.539143","2.76365","3.599541","3.993482","4.317637","4.635946","4.945783","5.249489","5.545882","5.832748","6.11124"
"        Number eligible for evaluation of TB infection","115.790019","188.476","253.732374","329.324834","451.620729","475.216271","517.234066","673.676329","747.404835","808.072456","867.646005","925.633752","982.474327","1037.94613","1091.634729","1143.756281"
"        Number tested for TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"        Number with presumed or confirmed TB infection","57.89501","94.238","126.866187","164.662417","225.810364","237.608135","258.617033","336.838165","373.702417","404.036228","433.823003","462.816876","491.237164","518.973065","545.817364","571.87814"
"        Number initiated on TB preventive treatment","57.89501","94.238","126.866187","164.662417","225.810364","237.608135","258.617033","336.838165","373.702417","404.036228","433.823003","462.816876","491.237164","518.973065","545.817364","571.87814"



"Provider-initiated: High risk groups, Prisoners, adults 15+ "
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Pulmonary TB: Adults aged 15 years and above","","","","","","","","","","","","","","","",""
"    Number eligible for screening and diagnosis of TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number screened for TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number referred for diagnostic evaluation of TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number diagnosed with PTB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number initiated on treatment for TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number eligible for evaluation of TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number tested for TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number with presumed or confirmed TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number initiated on TB preventive treatment","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"



"Provider-initiated: High risk groups, Miners exposed to silica, adults 15+ "
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Pulmonary TB: Adults aged 15 years and above","","","","","","","","","","","","","","","",""
"    Number eligible for screening and diagnosis of TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number screened for TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number referred for diagnostic evaluation of TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number diagnosed with PTB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number initiated on treatment for TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number eligible for evaluation of TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number tested for TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number with presumed or confirmed TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number initiated on TB preventive treatment","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"



"Provider-initiated: High risk groups, People with risk factors for TB seeking health care "
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Pulmonary TB: Adults aged 15 years and above","","","","","","","","","","","","","","","",""
"    Number eligible for screening and diagnosis of TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number screened for TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number referred for diagnostic evaluation of TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number diagnosed with PTB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number initiated on treatment for TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number eligible for evaluation of TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number tested for TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number with presumed or confirmed TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number initiated on TB preventive treatment","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"



"Provider-initiated: High risk groups, Populations with structural risk factors for TB "
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Pulmonary TB: Adults aged 15 years and above","","","","","","","","","","","","","","","",""
"    Number eligible for screening and diagnosis of TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number screened for TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number referred for diagnostic evaluation of TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number diagnosed with PTB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number initiated on treatment for TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number eligible for evaluation of TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number tested for TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number with presumed or confirmed TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number initiated on TB preventive treatment","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"



"Provider-initiated: High risk groups, General population in settings with ≥ 0.5% general prevalence "
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Pulmonary TB: Adults aged 15 years and above","","","","","","","","","","","","","","","",""
"    Number eligible for screening and diagnosis of TB disease","134231.261409","136187.656287","138776.39818","141632.915435","144555.471053","147946.929477","151463.248646","154571.62345","157566.137367","161062.996229","164784.984222","168592.299831","172513.014341","176479.990238","180426.896609","184399.434702"
"    Number screened for TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number referred for diagnostic evaluation of TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number diagnosed with PTB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number initiated on treatment for TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number eligible for evaluation of TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number tested for TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number with presumed or confirmed TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number initiated on TB preventive treatment","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"



"Provider-initiated: High risk groups, People with untreated fibrotic lesions on chest x-ray "
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Pulmonary TB: Adults aged 15 years and above","","","","","","","","","","","","","","","",""
"    Number eligible for screening and diagnosis of TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number screened for TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number referred for diagnostic evaluation of TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number diagnosed with PTB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number initiated on treatment for TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number eligible for evaluation of TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number tested for TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number with presumed or confirmed TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number initiated on TB preventive treatment","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"



"Provider-initiated: High-risk groups, All high-risk groups combined "
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Pulmonary TB: Adults aged 15 years and above","","","","","","","","","","","","","","","",""
"    Number eligible for screening and diagnosis of TB disease","134231.261409","136187.656287","138776.39818","141632.915435","144555.471053","147946.929477","151463.248646","154571.62345","157566.137367","161062.996229","164784.984222","168592.299831","172513.014341","176479.990238","180426.896609","184399.434702"
"    Number screened for TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number referred for diagnostic evaluation of TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number diagnosed with PTB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number initiated on treatment for TB disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number eligible for evaluation of TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number tested for TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number with presumed or confirmed TB infection","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    Number initiated on TB preventive treatment","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"



"Resistance testing "
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Pulmonary TB: All ages","","","","","","","","","","","","","","","",""
"    Number tested for Rifampicin resistance","398993.005925","409925.081242","419700.312331","427169.711118","431182.872054","430574.098804","424199.187757","410990.107781","391046.093353","400156.098133","419634.689378","434204.323795","452659.508748","467606.371664","484849.150654","504241.254075"
"    Number tested for Isoniazid resistance, among Rifampicin resistant cases","390262.608231","400955.477939","410516.816419","417822.776697","421748.12534","421152.672706","414917.251594","401997.200548","382489.582685","391400.250726","410452.629367","424703.464454","442754.830038","457374.639458","474240.12783","493207.911093"
"    Number tested for Fluoroquinolone resistance, among Rifampicin resistant cases","8730.397694","8969.603303","9183.495912","9346.934421","9434.746714","9421.426098","9281.936163","8992.907233","8556.510668","8755.847407","9182.060011","9500.85934","9904.67871","10231.732206","10609.022824","11033.342981"
"    Bedaquiline, Linezolid, Levofloxacin, Moxifloxacin resistance testing among Fluroquinolone resistant","4.365199","4.484802","4.591748","4.673467","4.717373","4.710713","4.640968","4.496454","4.278255","4.377924","4.59103","4.75043","4.952339","5.115866","5.304511","5.516671"
"Extra-Pulmonary TB: All ages","","","","","","","","","","","","","","","",""
"    Number tested for Rifampicin resistance","90981.180135","93465.47085","95687.46024","97380.684233","98280.096256","98135.940004","96676.967158","93643.727978","89087.14435","91157.135786","95592.03403","98907.592209","103109.481969","106511.443869","110437.271852","114853.531198"
"    Number tested for Isoniazid resistance, among Rifampicin resistant cases","88990.413697","91420.345449","93593.715313","95249.889737","96129.621654","95988.619696","94561.570752","91594.702119","87137.82146","89162.519249","93500.377131","96743.387318","100853.335194","104180.858495","108020.785124","112340.411947"
"    Number tested for Fluoroquinolone resistance, among Rifampicin resistant cases","1990.766438","2045.125401","2093.744927","2130.794496","2150.474602","2147.320308","2115.396407","2049.025859","1949.32289","1994.616538","2091.656899","2164.204891","2256.146775","2330.585374","2416.486728","2513.11925"
"    Bedaquiline, Linezolid, Levofloxacin, Moxifloxacin resistance testing among Fluroquinolone resistant","0.995383","1.022563","1.046872","1.065397","1.075237","1.07366","1.057698","1.024513","0.974661","0.997308","1.045828","1.082102","1.128073","1.165293","1.208243","1.25656"
"Pulmonary and Extra-Pulmonary TB: All ages","","","","","","","","","","","","","","","",""
"    Number tested for Rifampicin resistance","489974.18606","503390.552092","515387.772571","524550.395351","529462.968311","528710.038808","520876.154915","504633.835759","480133.237703","491313.233919","515226.723408","533111.916003","555768.990716","574117.815533","595286.422506","619094.785272"
"    Number tested for Isoniazid resistance, among Rifampicin resistant cases","479253.021929","492375.823388","504110.531731","513072.666434","517877.746994","517141.292402","509478.822346","493591.902667","469627.404145","480562.769975","503953.006498","521446.851772","543608.165232","561555.497953","582260.912953","605548.323041"
"    Number tested for Fluoroquinolone resistance, among Rifampicin resistant cases","10721.164132","11014.728704","11277.240839","11477.728917","11585.221316","11568.746406","11397.33257","11041.933093","10505.833558","10750.463944","11273.71691","11665.064231","12160.825485","12562.31758","13025.509552","13546.462232"
"    Bedaquiline, Linezolid, Levofloxacin, Moxifloxacin resistance testing among Fluroquinolone resistant","5.360582","5.507364","5.63862","5.738864","5.792611","5.784373","5.698666","5.520967","5.252917","5.375232","5.636858","5.832532","6.080413","6.281159","6.512755","6.773231"



"Treatment for TB disease "
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Pulmonary and Extra-Pulmonary TB: Children aged 0 to 14 years","","","","","","","","","","","","","","","",""
"    With severe TB: Number presumed Rifampicin and Isoniazid sensitive","1628.466008","1673.002259","1712.822886","1743.330489","1759.693767","1757.500828","1731.515398","1677.463069","1596.076327","1633.22848","1712.69435","1772.120874","1847.403463","1908.363009","1978.691422","2057.786385"
"    Without severe TB: Number presumed Rifampicin and Isoniazid sensitive","30940.854159","31787.042929","32543.63483","33123.279284","33434.181578","33392.515723","32898.792569","31871.798309","30325.450216","31031.341128","32541.192655","33670.296611","35100.66579","36258.897166","37595.137014","39097.94132"
"    Number presumed Rifampicin and Isoniazid sensitive","32569.320167","33460.045189","34256.457715","34866.609773","35193.875345","35150.016551","34630.307968","33549.261378","31921.526543","32664.569608","34253.887005","35442.417485","36948.069252","38167.260175","39573.828436","41155.727705"
"    Number of people with pulmonary bacteriologically confirmed TB that is Rifampicin sensitive and Isoniazid resistant","8142.330042","8365.011297","8564.114429","8716.652443","8798.468836","8787.504138","8657.576992","8387.315345","7980.381636","8166.142402","8563.471751","8860.604371","9237.017313","9541.815044","9893.457109","10288.931926"
"    Number presumed Rifampicin resistant and Fluoroquinolone sensitive","819.668604","842.085386","862.128615","877.484247","885.720504","884.616715","871.537264","844.33068","803.365651","822.065737","862.063918","891.975538","929.868115","960.551363","995.950316","1035.761806"
"    Number of people with pulmonary bacteriologically confirmed TB that is confirmed Rifampicin resistant and Fluoroquinolone resistant, pre-XDR","91.074289","93.565043","95.792068","97.49825","98.413389","98.290746","96.837474","93.81452","89.26285","91.340637","95.78488","99.108393","103.318679","106.727929","110.661146","115.084645"
"    Number Pre-XDR and resistant to at least one of Bedaquiline, Linezolid, Levofloxacin, Moxifloxacin","0.455371","0.467825","0.47896","0.487491","0.492067","0.491454","0.484187","0.469073","0.446314","0.456703","0.478924","0.495542","0.516593","0.53364","0.553306","0.575423"
"    Number on first-line drug treatment","32569.320167","33460.045189","34256.457715","34866.609773","35193.875345","35150.016551","34630.307968","33549.261378","31921.526543","32664.569608","34253.887005","35442.417485","36948.069252","38167.260175","39573.828436","41155.727705"
"    Number on second-line drug treatment","9943.496141","10215.472336","10458.65402","10644.898823","10744.79015","10731.196201","10572.494227","10242.493886","9745.514107","9972.370599","10457.601405","10820.473481","11280.165891","11652.403875","12081.85054","12564.830734"
"    Number on Pre-XDR treatment","91.074289","93.565043","95.792068","97.49825","98.413389","98.290746","96.837474","93.81452","89.26285","91.340637","95.78488","99.108393","103.318679","106.727929","110.661146","115.084645"
"Pulmonary and Extra-Pulmonary TB: Adults aged 15 years and above","","","","","","","","","","","","","","","",""
"    With severe TB: Number presumed Rifampicin and Isoniazid sensitive","17541.654869","18022.030676","18451.598383","18779.576169","18955.416113","18928.150869","18647.637495","18066.213038","17189.019839","17589.282319","18445.42591","19085.753197","19896.923147","20553.856909","21311.745096","22164.146536"
"    Without severe TB: Number presumed Rifampicin and Isoniazid sensitive","333291.442507","342418.582846","350580.369286","356811.947206","360152.906138","359634.866502","354305.112413","343258.047718","326591.376934","334196.364053","350463.092283","362629.310736","378041.539786","390523.281278","404923.156831","421118.784191"
"    Number presumed Rifampicin and Isoniazid sensitive","350833.097376","360440.613522","369031.96767","375591.523375","379108.32225","378563.017371","372952.749909","361324.260755","343780.396772","351785.646372","368908.518193","381715.063932","397938.462933","411077.138187","426234.901927","443282.930728"
"    Number of people with pulmonary bacteriologically confirmed TB that is Rifampicin sensitive and Isoniazid resistant","87708.274344","90110.15338","92257.991917","93897.880844","94777.080563","94640.754343","93238.187477","90331.065189","85945.099193","87946.411593","92227.129548","95428.765983","99484.615733","102769.284547","106558.725482","110820.732682"
"    Number presumed Rifampicin resistant and Fluoroquinolone sensitive","8829.379114","9071.170448","9287.38814","9452.471779","9540.978681","9527.255051","9386.062048","9093.409103","8651.884551","8853.351813","9284.281301","9606.58227","10014.874821","10345.534459","10727.008281","11156.054202"
"    Number of people with pulmonary bacteriologically confirmed TB that is confirmed Rifampicin resistant and Fluoroquinolone resistant, pre-XDR","981.042124","1007.907828","1031.932016","1050.274642","1060.108742","1058.583895","1042.895783","1010.378789","961.320506","983.705757","1031.586811","1067.39803","1112.763869","1149.503829","1191.889809","1239.561578"
"    Number Pre-XDR and resistant to at least one of Bedaquiline, Linezolid, Levofloxacin, Moxifloxacin","4.905211","5.039539","5.15966","5.251373","5.300544","5.292919","5.214479","5.051894","4.806603","4.918529","5.157934","5.33699","5.563819","5.747519","5.959449","6.197808"
"    Number on first-line drug treatment","350833.097376","360440.613522","369031.96767","375591.523375","379108.32225","378563.017371","372952.749909","361324.260755","343780.396772","351785.646372","368908.518193","381715.063932","397938.462933","411077.138187","426234.901927","443282.930728"
"    Number on second-line drug treatment","97523.600793","100194.271195","102582.471733","104405.878638","105383.468529","105231.886208","103672.359788","100439.904975","95563.110852","97788.387692","102548.155594","106108.083274","110617.818243","114270.070354","118483.583021","123222.54627"
"    Number on Pre-XDR treatment","981.042124","1007.907828","1031.932016","1050.274642","1060.108742","1058.583895","1042.895783","1010.378789","961.320506","983.705757","1031.586811","1067.39803","1112.763869","1149.503829","1191.889809","1239.561578"
"Drug susceptible TB","","","","","","","","","","","","","","","",""
"    Meningitis and pericarditis","","","","","","","","","","","","","","","",""
"        Number drug-susceptible TB with meningitis and pericarditis","","","","","","","","","","","","","","","",""
"            Adults aged 15 years and above","17541.654869","18022.030676","18451.598383","18779.576169","18955.416113","18928.150869","18647.637495","18066.213038","17189.019839","17589.282319","18445.42591","19085.753197","19896.923147","20553.856909","21311.745096","22164.146536"
"            Children aged 0 to 14 years","1628.466008","1673.002259","1712.822886","1743.330489","1759.693767","1757.500828","1731.515398","1677.463069","1596.076327","1633.22848","1712.69435","1772.120874","1847.403463","1908.363009","1978.691422","2057.786385"
"MDR/XDR-TB","","","","","","","","","","","","","","","",""
"    Lung resection surgery","","","","","","","","","","","","","","","",""
"        Number patients requiring lung resection surgery","","","","","","","","","","","","","","","",""
"            Adults aged 15 years and above","0.245261","0.251977","0.257983","0.262569","0.265027","0.264646","0.260724","0.252595","0.24033","0.245926","0.257897","0.26685","0.278191","0.287376","0.297972","0.30989"
"            Children aged 0 to 14 years","0.022769","0.023391","0.023948","0.024375","0.024603","0.024573","0.024209","0.023454","0.022316","0.022835","0.023946","0.024777","0.02583","0.026682","0.027665","0.028771"
"    Palliative care","","","","","","","","","","","","","","","",""
"        Number patients whose curative treatment options have been completely exhausted","","","","","","","","","","","","","","","",""
"            Adults aged 15 years and above","0.245261","0.251977","0.257983","0.262569","0.265027","0.264646","0.260724","0.252595","0.24033","0.245926","0.257897","0.26685","0.278191","0.287376","0.297972","0.30989"
"            Children aged 0 to 14 years","0.022769","0.023391","0.023948","0.024375","0.024603","0.024573","0.024209","0.023454","0.022316","0.022835","0.023946","0.024777","0.02583","0.026682","0.027665","0.028771"



"Preventive treatment "
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Prevention of tuberculosis infection","","","","","","","","","","","","","","","",""
"    Children aged 0 to 14 years","","","","","","","","","","","","","","","",""
"        Number with presumed or confirmed TB infection, Drug-susceptible strains","75945.5391","78079.180454","79981.653887","81552.031362","82511.078005","82679.29231","81557.518069","79194.124875","75516.852871","77306.899989","81055.131724","83864.994964","89166.342421","92101.202908","95476.859773","99259.849629"
